  ENSEMBLE_MEMBER  COLUMN_HEIGHT   M_FLOW_RATE     SOURCE_START    SOURCE_DURAT    TOP_HAT_THICK   SUZUKI_A        SUZUKI_L        WIND_U          WIND_V          CLOUD_HEIGHT    CLOUD_THICK     FI_MEAN         DIAMETER_AGGR   DENSITY_AGGR    
      0001          0.00000         0.00000         0.00000         0.00000         0.00000         0.00000         0.00000         0.00000         0.00000         0.00000         0.00000         0.00000         0.00000         0.00000
      0002          0.12290        -0.94257         0.31274        -0.06070        -0.24401         0.94860        -0.61286         0.69230         0.87555         0.44038         0.80648         0.59732        -0.88569        -0.08933
      0003         -0.34225         0.23382         0.38822         0.02342         0.91282         0.53933        -0.27275         0.86319         0.41330         0.75808         0.45819         0.31114         0.48576         0.54829
      0004         -0.56971         0.73607        -0.76783         0.03334         0.85571         0.89489        -0.71923        -0.57216        -0.65709         0.26163         0.46561         0.14694        -0.70093        -0.90647
      0005         -0.49017        -0.91278        -0.80123         0.15348        -0.03272         0.23083         0.28787         0.13437        -0.22091        -0.80894        -0.69033         0.73991        -0.11202         0.54145
      0006         -0.39222         0.11427         0.09985        -0.29726         0.18643        -0.85363         0.30822         0.88950        -0.10661        -0.99155         0.83990         0.35933         0.32283        -0.14300
      0007          0.24612        -0.19195         0.21693        -0.80392         0.63665         0.34957         0.96506         0.69431        -0.76173        -0.69758        -0.74037         0.11734         0.13192         0.73489
      0008          0.06824         0.94679        -0.26136        -0.22591        -0.08103         0.41289        -0.92311        -0.68384         0.46508        -0.45831         0.86297         0.04587         0.79221         0.03060
      0009         -0.00131         0.62977        -0.85105         0.31108        -0.75507        -0.25582        -0.89080        -0.50418         0.24623        -0.15880         0.40079         0.14066        -0.93668         0.23050
      0010         -0.18003        -0.82716        -0.47469         0.48987         0.23712        -0.08451        -0.24740        -0.45600        -0.86320         0.96991         0.21074        -0.27748        -0.28610        -0.75210
      0011         -0.79079        -0.47629         0.66837         0.60030         0.96211         0.44067        -0.68476        -0.29721        -0.34092        -0.28213         0.89572        -0.28083         0.75421         0.68924
      0012         -0.49033         0.47652        -0.35658         0.97578         0.46140         0.93314         0.81592        -0.98053         0.82871         0.77426        -0.31329        -0.72692         0.11678        -0.67596
      0013         -0.85493        -0.67220        -0.39190        -0.51769         0.46897        -0.06816         0.62020        -0.52332        -0.57266         0.30096        -0.65451         0.64193        -0.67467         0.85978
      0014          0.74258        -0.87038         0.61484         0.09778         0.57457        -0.16512        -0.59466        -0.23728        -0.25421         0.75663        -0.19445        -0.99779         0.35550        -0.18373
      0015          0.93424        -0.63857        -0.68059        -0.05867        -0.77269        -0.62864         0.09939        -0.99571        -0.45424        -0.39479        -0.47029         0.88646         0.89757        -0.85327
      0016         -0.53489        -0.93083         0.04250         0.51918         0.33222        -0.05335         0.84340         0.77784        -0.96628        -0.40839         0.56156        -0.85795        -0.02874         0.89729
      0017         -0.65558        -0.85935        -0.74387         0.93340         0.53012        -0.27698         0.05670        -0.61203        -0.56816        -0.66513        -0.11807        -0.69454         0.26183         0.61126
      0018         -0.63263        -0.89488        -0.58396         0.76169        -0.49265        -0.53400         0.18792        -0.31511        -0.55992         0.58642        -0.08116         0.40197        -0.37710         0.93618
      0019         -0.73789         0.72275        -0.06128        -0.61878         0.66291        -0.85994        -0.97460        -0.80476        -0.70289        -0.63941        -0.14633        -0.29735         0.60166        -0.71419
      0020          0.44857        -0.14603        -0.59022         0.41174         0.54664         0.25529        -0.01993         0.11202         0.58691         0.23076         0.17831        -0.77292        -0.62399         0.96059
      0021         -0.23113        -0.76546        -0.41628        -0.07626        -0.53145         0.47035         0.99597        -0.78811        -0.04155        -0.52467         0.15214         0.47445        -0.45401        -0.21818
      0022         -0.05778         0.92026         0.75123        -0.44532         0.22190        -0.62045         0.73853        -0.60481        -0.99498        -0.90777        -0.89700        -0.15901        -0.42301         0.06358
      0023         -0.21633        -0.79120         0.77221         0.89539        -0.00863        -0.61160        -0.51639         0.49185        -0.46594         0.82686        -0.09148         0.36861        -0.22368         0.34378
      0024          0.25930        -0.09178        -0.59278         0.31920         0.23031         0.74830        -0.11665        -0.41051        -0.62751        -0.23808        -0.37034        -0.90924         0.92117        -0.38428
      0025          0.77591         0.77198        -0.73597         0.19055        -0.09484        -0.69806         0.97962         0.38215        -0.29141        -0.56644        -0.98366         0.76985         0.97841         0.94278
      0026          0.09035        -0.38584        -0.97131         0.86875         0.37985        -0.70867         0.57449        -0.61875         0.80610        -0.48372         0.39272         0.49933         0.07317        -0.72352
      0027          0.18093        -0.92213        -0.50570         0.50167         0.02380        -0.95260        -0.00133        -0.94043        -0.77590         0.62361        -0.10084        -0.52124         0.21930        -0.51890
