,latent_dim,beta,rmse
0,16,1,0.9462078809738159
1,16,1,0.9657490849494934
2,16,1,1.0071347951889038
3,16,1,0.9347127676010132
4,16,1,0.9060804843902588
5,16,1,0.8195582032203674
6,16,1,0.8681793808937073
7,16,1,0.9306942820549011
8,16,1,0.9363442659378052
9,16,1,0.9336357712745667
10,16,1,0.9800201654434204
11,16,1,1.0454169511795044
12,16,1,0.9295378923416138
13,16,1,0.950884222984314
14,16,1,1.01261305809021
15,16,1,1.0450998544692993
16,16,1,0.9358195662498474
17,16,1,0.9386528730392456
18,16,1,0.9955962300300598
19,16,1,0.8267599940299988
20,16,2,0.4976859986782074
21,16,2,0.5860671401023865
22,16,2,0.5887961983680725
23,16,2,0.5152446627616882
24,16,2,0.581912100315094
25,16,2,0.531792163848877
26,16,2,0.5406455993652344
27,16,2,0.5418692827224731
28,16,2,0.5491959452629089
29,16,2,0.426267147064209
30,16,2,0.4908725619316101
31,16,2,0.4885365962982178
32,16,2,0.5833495855331421
33,16,2,0.5170735716819763
34,16,2,0.5026434659957886
35,16,2,0.5459595918655396
36,16,2,0.4744722247123718
37,16,2,0.5063132047653198
38,16,2,0.6082537770271301
39,16,2,0.4683536887168884
40,16,4,0.29765889048576355
41,16,4,0.33557865023612976
42,16,4,0.33328068256378174
43,16,4,0.3505012094974518
44,16,4,0.3955514132976532
45,16,4,0.307071715593338
46,16,4,0.326153963804245
47,16,4,0.3330487608909607
48,16,4,0.2815544009208679
49,16,4,0.33333513140678406
50,16,4,0.3141743838787079
51,16,4,0.30303943157196045
52,16,4,0.3929365873336792
53,16,4,0.3856142461299896
54,16,4,0.34866854548454285
55,16,4,0.32871612906455994
56,16,4,0.3008947968482971
57,16,4,0.32834702730178833
58,16,4,0.32022905349731445
59,16,4,0.2684588134288788
60,16,6,0.24112452566623688
61,16,6,0.16136480867862701
62,16,6,0.19498319923877716
63,16,6,0.203855499625206
64,16,6,0.20562224090099335
65,16,6,0.19998052716255188
66,16,6,0.1934366375207901
67,16,6,0.16808252036571503
68,16,6,0.2000845968723297
69,16,6,0.21062292158603668
70,16,6,0.169150710105896
71,16,6,0.23354066908359528
72,16,6,0.2065477967262268
73,16,6,0.1899547576904297
74,16,6,0.16932174563407898
75,16,6,0.17658276855945587
76,16,6,0.21946874260902405
77,16,6,0.28184744715690613
78,16,6,0.17223936319351196
79,16,6,0.19357635080814362
80,16,8,0.3109562397003174
81,16,8,0.2268020063638687
82,16,8,0.22720026969909668
83,16,8,0.27666226029396057
84,16,8,0.26783210039138794
85,16,8,0.2445116490125656
86,16,8,0.24435874819755554
87,16,8,0.2662918269634247
88,16,8,0.34000030159950256
89,16,8,0.3096418082714081
90,16,8,0.28973114490509033
91,16,8,0.24296438694000244
92,16,8,0.30696192383766174
93,16,8,0.2851092517375946
94,16,8,0.276469349861145
95,16,8,0.3104616701602936
96,16,8,0.28255435824394226
97,16,8,0.2671701908111572
98,16,8,0.28752055764198303
99,16,8,0.24421195685863495
100,16,10,0.1942242681980133
101,16,10,0.180210143327713
102,16,10,0.2622690796852112
103,16,10,0.2188287377357483
104,16,10,0.18325084447860718
105,16,10,0.19143226742744446
106,16,10,0.21589316427707672
107,16,10,0.20560197532176971
108,16,10,0.25681543350219727
109,16,10,0.18453699350357056
110,16,10,0.20875823497772217
111,16,10,0.19540125131607056
112,16,10,0.1901637613773346
113,16,10,0.2323635369539261
114,16,10,0.21433471143245697
115,16,10,0.25327691435813904
116,16,10,0.19425798952579498
117,16,10,0.24162742495536804
118,16,10,0.17162452638149261
119,16,10,0.1864803284406662
120,16,12,0.19217494130134583
121,16,12,0.23242264986038208
122,16,12,0.16258248686790466
123,16,12,0.21919886767864227
124,16,12,0.1885324865579605
125,16,12,0.2340165376663208
126,16,12,0.17452159523963928
127,16,12,0.23204796016216278
128,16,12,0.18715982139110565
129,16,12,0.18253202736377716
130,16,12,0.2061983346939087
131,16,12,0.1905454844236374
132,16,12,0.27366626262664795
133,16,12,0.21673691272735596
134,16,12,0.14314407110214233
135,16,12,0.20932762324810028
136,16,12,0.19278255105018616
137,16,12,0.25601258873939514
138,16,12,0.17401282489299774
139,16,12,0.2418503761291504
