,latent_dim,beta,rmse
0,2,6,0.5911434292793274
1,2,6,0.663898229598999
2,2,6,0.5942507386207581
3,2,6,0.5689923167228699
4,2,6,0.6508731842041016
5,2,6,0.7189913392066956
6,2,6,0.6706202030181885
7,2,6,0.7392343282699585
8,2,6,0.6669401526451111
9,2,6,0.6035469770431519
10,2,6,0.7788651585578918
11,2,6,0.6554762125015259
12,2,6,0.729434609413147
13,2,6,0.6390538215637207
14,2,6,0.6051467657089233
15,2,6,0.6628617644309998
16,2,6,0.7024713158607483
17,2,6,0.6242979168891907
18,2,6,0.7675314545631409
19,2,6,0.6808686852455139
20,4,6,0.40007469058036804
21,4,6,0.2739323675632477
22,4,6,0.3412962257862091
23,4,6,0.4108649492263794
24,4,6,0.39387014508247375
25,4,6,0.2954831123352051
26,4,6,0.3846109211444855
27,4,6,0.4024953842163086
28,4,6,0.35978472232818604
29,4,6,0.4256434440612793
30,4,6,0.3837343156337738
31,4,6,0.4073745608329773
32,4,6,0.4093341529369354
33,4,6,0.34325435757637024
34,4,6,0.41789931058883667
35,4,6,0.5215327739715576
36,4,6,0.4748070240020752
37,4,6,0.3445977568626404
38,4,6,0.4707660675048828
39,4,6,0.36660805344581604
40,6,6,0.3280395567417145
41,6,6,0.16189263761043549
42,6,6,0.20038646459579468
43,6,6,0.22718581557273865
44,6,6,0.18695783615112305
45,6,6,0.22134122252464294
46,6,6,0.24972186982631683
47,6,6,0.20209291577339172
48,6,6,0.23694287240505219
49,6,6,0.1983412355184555
50,6,6,0.1830567717552185
51,6,6,0.22259512543678284
52,6,6,0.2033381164073944
53,6,6,0.21622538566589355
54,6,6,0.20024645328521729
55,6,6,0.1965884268283844
56,6,6,0.2156200110912323
57,6,6,0.2200561910867691
58,6,6,0.17548583447933197
59,6,6,0.21872279047966003
60,8,6,0.2268398553133011
61,8,6,0.19463466107845306
62,8,6,0.21700337529182434
63,8,6,0.22336244583129883
64,8,6,0.22112475335597992
65,8,6,0.23532916605472565
66,8,6,0.25428682565689087
67,8,6,0.20997057855129242
68,8,6,0.2206028550863266
69,8,6,0.23254965245723724
70,8,6,0.1987178921699524
71,8,6,0.2526584267616272
72,8,6,0.20240332186222076
73,8,6,0.23072315752506256
74,8,6,0.2114916443824768
75,8,6,0.23510968685150146
76,8,6,0.2195744663476944
77,8,6,0.1863979697227478
78,8,6,0.25186991691589355
79,8,6,0.22305551171302795
80,12,6,0.23106275498867035
81,12,6,0.1736089289188385
82,12,6,0.24987895786762238
83,12,6,0.22590170800685883
84,12,6,0.2253725826740265
85,12,6,0.2612330913543701
86,12,6,0.18974632024765015
87,12,6,0.20047277212142944
88,12,6,0.23671922087669373
89,12,6,0.2524188458919525
90,12,6,0.2052261233329773
91,12,6,0.2524717450141907
92,12,6,0.23508206009864807
93,12,6,0.16838191449642181
94,12,6,0.205215185880661
95,12,6,0.3360912799835205
96,12,6,0.22144301235675812
97,12,6,0.19792550802230835
98,12,6,0.23314906656742096
99,12,6,0.23881204426288605
100,16,6,0.20149999856948853
101,16,6,0.2052581012248993
102,16,6,0.20843058824539185
103,16,6,0.2341122180223465
104,16,6,0.19800668954849243
105,16,6,0.1822335422039032
106,16,6,0.20041194558143616
107,16,6,0.19612820446491241
108,16,6,0.18000152707099915
109,16,6,0.18104104697704315
110,16,6,0.17731031775474548
111,16,6,0.2106175273656845
112,16,6,0.1871630996465683
113,16,6,0.27432602643966675
114,16,6,0.1750219166278839
115,16,6,0.18580356240272522
116,16,6,0.22762060165405273
117,16,6,0.18030263483524323
118,16,6,0.20605351030826569
119,16,6,0.157872274518013
120,20,6,0.20083779096603394
121,20,6,0.2233259081840515
122,20,6,0.24135234951972961
123,20,6,0.2200554609298706
124,20,6,0.24858975410461426
125,20,6,0.31959056854248047
126,20,6,0.32846781611442566
127,20,6,0.2473803460597992
128,20,6,0.2503800690174103
129,20,6,0.25579485297203064
130,20,6,0.23362253606319427
131,20,6,0.21396008133888245
132,20,6,0.23405559360980988
133,20,6,0.2824676036834717
134,20,6,0.24237321317195892
135,20,6,0.2653179466724396
136,20,6,0.23396186530590057
137,20,6,0.2880724370479584
138,20,6,0.270190566778183
139,20,6,0.22322610020637512
140,24,6,0.26517531275749207
141,24,6,0.28790679574012756
142,24,6,0.36609798669815063
143,24,6,0.3549383580684662
144,24,6,0.4003458321094513
145,24,6,0.3273703455924988
146,24,6,0.3555964529514313
147,24,6,0.325459748506546
148,24,6,0.37332573533058167
149,24,6,0.46114668250083923
150,24,6,0.30561161041259766
151,24,6,0.3889892101287842
152,24,6,0.36298874020576477
153,24,6,0.34658607840538025
154,24,6,0.3371262550354004
155,24,6,0.25083860754966736
156,24,6,0.31861522793769836
157,24,6,0.29428258538246155
158,24,6,0.3381011486053467
159,24,6,0.2794632315635681
